"","Title","Rating","TotalVotes","Genre1","Genre2","Genre3","MetaCritic","Budget","Runtime","�..CVotes10","CVotes09","CVotes08","CVotes07","CVotes06","CVotes05","CVotes04","CVotes03","CVotes02","CVotes01","CVotesMale","CVotesFemale","CVotesU18","CVotesU18M","CVotesU18F","CVotes1829","CVotes1829M","CVotes1829F","CVotes3044","CVotes3044M","CVotes3044F","CVotes45A","CVotes45AM","CVotes45AF","CVotes1000","CVotesUS","CVotesnUS","VotesM","VotesF","VotesU18","VotesU18M","VotesU18F","Votes1829","Votes1829M","Votes1829F","Votes3044","Votes3044M","Votes3044F","Votes45A","Votes45AM","Votes45AF","VotesIMDB","Votes1000","VotesUS","VotesnUS"
"1","12 Years a Slave (2013)",8.1,"496,092","Biography","Drama","History",96,"Budget:        $20,000,000              (estimated)","134 min",75556,126223,161460,83070,27231,9603,4021,2420,1785,4739," 313823"," 82012"," 1837"," 1363"," 457"," 200910"," 153669"," 45301"," 138762"," 112943"," 23895"," 29252"," 23072"," 5726"," 664"," 53328"," 224519"," 8.1"," 8.1"," 8.4"," 8.4"," 8.5"," 8.2"," 8.2"," 8.2"," 8.0"," 7.9"," 8.0"," 7.8"," 7.8"," 8.1"," 8.0"," 7.7"," 8.3"," 8.0"
"2","127 Hours (2010)",7.6,"297,075","Adventure","Biography","Drama",82,"Budget:        $18,000,000              (estimated)","94 min",28939,44110,98845,78451,28394,9403,3796,1930,1161,2059," 212866"," 44600"," 745"," 567"," 170"," 133336"," 106007"," 26152"," 102120"," 86609"," 14304"," 14895"," 12400"," 2261"," 649"," 38478"," 169745"," 7.6"," 7.6"," 7.9"," 7.9"," 7.9"," 7.7"," 7.8"," 7.7"," 7.5"," 7.5"," 7.5"," 7.3"," 7.3"," 7.5"," 7.6"," 7.0"," 7.7"," 7.6"
"3","50/50 (2011)",7.7,"283,935","Comedy","Drama","Romance",72,"Budget:        $8,000,000              (estimated)","100 min",28304,47501,99524,71485,24252,7545,2381,1109,634,1202," 188925"," 58348"," 506"," 348"," 153"," 132350"," 96269"," 34765"," 94745"," 75394"," 18163"," 12829"," 9912"," 2681"," 555"," 46947"," 147849"," 7.7"," 7.7"," 7.9"," 7.9"," 7.9"," 7.8"," 7.8"," 7.7"," 7.6"," 7.6"," 7.6"," 7.4"," 7.4"," 7.5"," 7.4"," 7.0"," 7.9"," 7.6"
"4","About Time (2013)",7.8,"225,412","Comedy","Drama","Fantasy",NA,"Budget:        $12,000,000              (estimated)","123 min",38556,43170,70850,45487,16542,5673,2210,1084,664,1182," 126718"," 58098"," 654"," 325"," 321"," 92940"," 57778"," 34126"," 67477"," 50212"," 16222"," 13973"," 10690"," 3026"," 475"," 20450"," 111670"," 7.8"," 7.9"," 8.2"," 8.1"," 8.3"," 8.0"," 8.0"," 8.0"," 7.6"," 7.6"," 7.7"," 7.6"," 7.5"," 7.8"," 7.7"," 6.9"," 7.8"," 7.7"
"5","Amour (2012)",7.9,"76,121","Drama","Romance","",94,"Budget:        $8,900,000              (estimated)","127 min",11093,15944,22942,14187,5945,2585,1188,710,534,995," 49808"," 16719"," 121"," 95"," 24"," 28593"," 20107"," 8167"," 28691"," 21990"," 6269"," 7425"," 5803"," 1490"," 391"," 7959"," 46138"," 7.8"," 7.9"," 8.6"," 8.7"," 8.5"," 8.0"," 8.0"," 7.9"," 7.7"," 7.7"," 7.9"," 7.9"," 7.8"," 8.1"," 6.6"," 7.2"," 7.9"," 7.8"
"6","Argo (2012)",7.7,"486,840","Action","Biography","Drama",86,"Budget:        $44,500,000              (estimated)","120 min",43875,89490,171495,115165,37332,12630,4992,2910,2020,6941," 334838"," 67910"," 971"," 795"," 162"," 178794"," 146371"," 30643"," 163795"," 136391"," 24948"," 36215"," 28817"," 6752"," 740"," 70110"," 229137"," 7.7"," 7.9"," 8.0"," 8.0"," 7.8"," 7.8"," 7.8"," 7.9"," 7.7"," 7.6"," 7.8"," 7.7"," 7.7"," 8.0"," 8.1"," 7.2"," 8.0"," 7.6"
"7","Arrival (2016)",8,"370,842","Drama","Mystery","Sci-Fi",81,"Budget:        $47,000,000              (estimated)","116 min",55533,87850,109536,65440,26913,10556,5057,3083,2194,4734," 237437"," 46272"," 1943"," 1544"," 376"," 126301"," 101741"," 23163"," 111985"," 95005"," 15227"," 24027"," 20118"," 3440"," 537"," 42062"," 163774"," 7.9"," 8.0"," 8.6"," 8.6"," 8.4"," 8.2"," 8.2"," 8.1"," 7.8"," 7.8"," 7.8"," 7.6"," 7.6"," 7.7"," 8.3"," 7.3"," 8.0"," 7.9"
"8","Beasts of No Nation (2015)",7.8,"51,781","Drama","War","",79,"Budget:        $6,000,000              (estimated)","137 min",5396,9364,19639,12164,3380,948,325,137,95,337," 37373"," 4422"," 210"," 188"," 19"," 20628"," 18200"," 2205"," 15846"," 14120"," 1500"," 3009"," 2541"," 409"," 224"," 7004"," 24596"," 7.8"," 7.8"," 8.2"," 8.2"," 8.0"," 7.9"," 7.9"," 7.9"," 7.6"," 7.6"," 7.7"," 7.6"," 7.6"," 7.7"," 8.2"," 7.2"," 7.9"," 7.7"
"9","Before Midnight (2013)",7.9,"106,553","Drama","Romance","",94,"Budget:        $3,000,000              (estimated)","109 min",16953,22109,31439,19251,8142,3412,1649,1033,826,1745," 67076"," 23823"," 208"," 138"," 66"," 43312"," 30016"," 12857"," 37072"," 28401"," 8189"," 7479"," 5891"," 1470"," 447"," 12382"," 59116"," 7.9"," 7.8"," 8.1"," 8.3"," 7.4"," 8.1"," 8.2"," 7.9"," 7.8"," 7.8"," 7.6"," 7.3"," 7.4"," 7.2"," 8.5"," 7.0"," 8.0"," 7.9"
"10","Big Hero 6 (2014)",7.8,"315,485","Animation","Action","Adventure",74,"Opening Weekend:         $56,215,889              (USA)      (7 November 2014)","",50311,61304,103726,65681,22389,6830,2251,1036,539,1439," 187383"," 58731"," 2446"," 1571"," 855"," 128237"," 91744"," 35122"," 84098"," 68040"," 14796"," 13974"," 11304"," 2400"," 525"," 36702"," 131818"," 7.7"," 8.2"," 8.2"," 8.0"," 8.7"," 7.9"," 7.8"," 8.3"," 7.7"," 7.6"," 8.0"," 7.6"," 7.6"," 7.9"," 7.9"," 7.2"," 7.9"," 7.7"
